project	quadrant	count	share_of_known	n_total	n_known	n_gt	n_pred	n_unknown
Work	HP	3	0.06	51	50	0	50	1
Work	LP	10	0.2	51	50	0	50	1
Work	HN-D	2	0.04	51	50	0	50	1
Work	HN-S	3	0.06	51	50	0	50	1
Work	LN	7	0.14	51	50	0	50	1
Work	NB	25	0.5	51	50	0	50	1
a9lim	HP	0	0.0	21	21	0	21	0
a9lim	LP	7	0.3333	21	21	0	21	0
a9lim	HN-D	0	0.0	21	21	0	21	0
a9lim	HN-S	3	0.1429	21	21	0	21	0
a9lim	LN	2	0.0952	21	21	0	21	0
a9lim	NB	9	0.4286	21	21	0	21	0
a9lim.github.io	HP	7	0.0493	145	142	0	142	3
a9lim.github.io	LP	35	0.2465	145	142	0	142	3
a9lim.github.io	HN-D	5	0.0352	145	142	0	142	3
a9lim.github.io	HN-S	14	0.0986	145	142	0	142	3
a9lim.github.io	LN	18	0.1268	145	142	0	142	3
a9lim.github.io	NB	63	0.4437	145	142	0	142	3
aurora	HP	0	0.0	2	2	0	2	0
aurora	LP	1	0.5	2	2	0	2	0
aurora	HN-D	0	0.0	2	2	0	2	0
aurora	HN-S	0	0.0	2	2	0	2	0
aurora	LN	0	0.0	2	2	0	2	0
aurora	NB	1	0.5	2	2	0	2	0
brie	HP	1	0.05	29	20	0	20	9
brie	LP	7	0.35	29	20	0	20	9
brie	HN-D	2	0.1	29	20	0	20	9
brie	HN-S	1	0.05	29	20	0	20	9
brie	LN	2	0.1	29	20	0	20	9
brie	NB	7	0.35	29	20	0	20	9
claude.ai	HP	3	0.0909	34	33	0	33	1
claude.ai	LP	6	0.1818	34	33	0	33	1
claude.ai	HN-D	0	0.0	34	33	0	33	1
claude.ai	HN-S	4	0.1212	34	33	0	33	1
claude.ai	LN	12	0.3636	34	33	0	33	1
claude.ai	NB	8	0.2424	34	33	0	33	1
claudedriven	HP	1	0.0667	17	15	0	15	2
claudedriven	LP	3	0.2	17	15	0	15	2
claudedriven	HN-D	0	0.0	17	15	0	15	2
claudedriven	HN-S	0	0.0	17	15	0	15	2
claudedriven	LN	1	0.0667	17	15	0	15	2
claudedriven	NB	10	0.6667	17	15	0	15	2
data	HP	0	0.0	14	14	0	14	0
data	LP	0	0.0	14	14	0	14	0
data	HN-D	0	0.0	14	14	0	14	0
data	HN-S	1	0.0714	14	14	0	14	0
data	LN	0	0.0	14	14	0	14	0
data	NB	13	0.9286	14	14	0	14	0
faithful	HP	4	0.1026	39	39	0	39	0
faithful	LP	9	0.2308	39	39	0	39	0
faithful	HN-D	1	0.0256	39	39	0	39	0
faithful	HN-S	7	0.1795	39	39	0	39	0
faithful	LN	3	0.0769	39	39	0	39	0
faithful	NB	15	0.3846	39	39	0	39	0
geon	HP	1	0.0714	15	14	0	14	1
geon	LP	3	0.2143	15	14	0	14	1
geon	HN-D	0	0.0	15	14	0	14	1
geon	HN-S	4	0.2857	15	14	0	14	1
geon	LN	2	0.1429	15	14	0	14	1
geon	NB	4	0.2857	15	14	0	14	1
hylic	HP	2	0.069	29	29	0	29	0
hylic	LP	5	0.1724	29	29	0	29	0
hylic	HN-D	0	0.0	29	29	0	29	0
hylic	HN-S	4	0.1379	29	29	0	29	0
hylic	LN	6	0.2069	29	29	0	29	0
hylic	NB	12	0.4138	29	29	0	29	0
introspection-via-kaomoji	HP	0	0.0	1	1	0	1	0
introspection-via-kaomoji	LP	0	0.0	1	1	0	1	0
introspection-via-kaomoji	HN-D	0	0.0	1	1	0	1	0
introspection-via-kaomoji	HN-S	0	0.0	1	1	0	1	0
introspection-via-kaomoji	LN	0	0.0	1	1	0	1	0
introspection-via-kaomoji	NB	1	1.0	1	1	0	1	0
kenoma	HP	1	0.0185	54	54	0	54	0
kenoma	LP	12	0.2222	54	54	0	54	0
kenoma	HN-D	4	0.0741	54	54	0	54	0
kenoma	HN-S	5	0.0926	54	54	0	54	0
kenoma	LN	8	0.1481	54	54	0	54	0
kenoma	NB	24	0.4444	54	54	0	54	0
llmoji	HP	9	0.0237	381	379	0	379	2
llmoji	LP	91	0.2401	381	379	0	379	2
llmoji	HN-D	7	0.0185	381	379	0	379	2
llmoji	HN-S	54	0.1425	381	379	0	379	2
llmoji	LN	50	0.1319	381	379	0	379	2
llmoji	NB	168	0.4433	381	379	0	379	2
llmoji-study	HP	17	0.0185	950	920	0	920	30
llmoji-study	LP	136	0.1478	950	920	0	920	30
llmoji-study	HN-D	12	0.013	950	920	0	920	30
llmoji-study	HN-S	124	0.1348	950	920	0	920	30
llmoji-study	LN	90	0.0978	950	920	0	920	30
llmoji-study	NB	541	0.588	950	920	0	920	30
mirrors	HP	0	0.0	2	2	0	2	0
mirrors	LP	0	0.0	2	2	0	2	0
mirrors	HN-D	1	0.5	2	2	0	2	0
mirrors	HN-S	1	0.5	2	2	0	2	0
mirrors	LN	0	0.0	2	2	0	2	0
mirrors	NB	0	0.0	2	2	0	2	0
rlaif	HP	8	0.0537	153	149	0	149	4
rlaif	LP	31	0.2081	153	149	0	149	4
rlaif	HN-D	10	0.0671	153	149	0	149	4
rlaif	HN-S	21	0.1409	153	149	0	149	4
rlaif	LN	24	0.1611	153	149	0	149	4
rlaif	NB	55	0.3691	153	149	0	149	4
saklas	HP	9	0.0263	345	342	0	342	3
saklas	LP	48	0.1404	345	342	0	342	3
saklas	HN-D	28	0.0819	345	342	0	342	3
saklas	HN-S	58	0.1696	345	342	0	342	3
saklas	LN	37	0.1082	345	342	0	342	3
saklas	NB	162	0.4737	345	342	0	342	3
shoals	HP	0	0.0	28	25	0	25	3
shoals	LP	6	0.24	28	25	0	25	3
shoals	HN-D	0	0.0	28	25	0	25	3
shoals	HN-S	6	0.24	28	25	0	25	3
shoals	LN	2	0.08	28	25	0	25	3
shoals	NB	11	0.44	28	25	0	25	3
talkie-interface	HP	0	0.0	8	6	0	6	2
talkie-interface	LP	1	0.1667	8	6	0	6	2
talkie-interface	HN-D	0	0.0	8	6	0	6	2
talkie-interface	HN-S	0	0.0	8	6	0	6	2
talkie-interface	LN	2	0.3333	8	6	0	6	2
talkie-interface	NB	3	0.5	8	6	0	6	2
tasty-bot	HP	1	0.0312	37	32	0	32	5
tasty-bot	LP	5	0.1562	37	32	0	32	5
tasty-bot	HN-D	5	0.1562	37	32	0	32	5
tasty-bot	HN-S	8	0.25	37	32	0	32	5
tasty-bot	LN	4	0.125	37	32	0	32	5
tasty-bot	NB	9	0.2812	37	32	0	32	5
tasty-mcp	HP	0	0.0	18	18	0	18	0
tasty-mcp	LP	0	0.0	18	18	0	18	0
tasty-mcp	HN-D	0	0.0	18	18	0	18	0
tasty-mcp	HN-S	3	0.1667	18	18	0	18	0
tasty-mcp	LN	0	0.0	18	18	0	18	0
tasty-mcp	NB	15	0.8333	18	18	0	18	0
v3	HP	0	0.0	7	6	0	6	1
v3	LP	0	0.0	7	6	0	6	1
v3	HN-D	1	0.1667	7	6	0	6	1
v3	HN-S	1	0.1667	7	6	0	6	1
v3	LN	0	0.0	7	6	0	6	1
v3	NB	4	0.6667	7	6	0	6	1
verify	HP	0	0.0	7	7	0	7	0
verify	LP	1	0.1429	7	7	0	7	0
verify	HN-D	1	0.1429	7	7	0	7	0
verify	HN-S	2	0.2857	7	7	0	7	0
verify	LN	3	0.4286	7	7	0	7	0
verify	NB	0	0.0	7	7	0	7	0
webui	HP	0	0.0	7	7	0	7	0
webui	LP	4	0.5714	7	7	0	7	0
webui	HN-D	2	0.2857	7	7	0	7	0
webui	HN-S	0	0.0	7	7	0	7	0
webui	LN	0	0.0	7	7	0	7	0
webui	NB	1	0.1429	7	7	0	7	0
yap	HP	0	0.0	11	11	0	11	0
yap	LP	7	0.6364	11	11	0	11	0
yap	HN-D	1	0.0909	11	11	0	11	0
yap	HN-S	0	0.0	11	11	0	11	0
yap	LN	0	0.0	11	11	0	11	0
yap	NB	3	0.2727	11	11	0	11	0
