project	quadrant	count	share_of_known	n_total	n_known	n_gt	n_pred	n_unknown
Work	HP	15	0.2419	65	62	38	24	3
Work	LP	10	0.1613	65	62	38	24	3
Work	HN-D	2	0.0323	65	62	38	24	3
Work	HN-S	9	0.1452	65	62	38	24	3
Work	LN	4	0.0645	65	62	38	24	3
Work	NB	22	0.3548	65	62	38	24	3
a9lim	HP	4	0.1905	21	21	15	6	0
a9lim	LP	8	0.381	21	21	15	6	0
a9lim	HN-D	0	0.0	21	21	15	6	0
a9lim	HN-S	2	0.0952	21	21	15	6	0
a9lim	LN	0	0.0	21	21	15	6	0
a9lim	NB	7	0.3333	21	21	15	6	0
a9lim.github.io	HP	41	0.25	170	164	118	46	6
a9lim.github.io	LP	31	0.189	170	164	118	46	6
a9lim.github.io	HN-D	12	0.0732	170	164	118	46	6
a9lim.github.io	HN-S	11	0.0671	170	164	118	46	6
a9lim.github.io	LN	18	0.1098	170	164	118	46	6
a9lim.github.io	NB	51	0.311	170	164	118	46	6
aurora	HP	0	0.0	2	2	1	1	0
aurora	LP	1	0.5	2	2	1	1	0
aurora	HN-D	0	0.0	2	2	1	1	0
aurora	HN-S	0	0.0	2	2	1	1	0
aurora	LN	0	0.0	2	2	1	1	0
aurora	NB	1	0.5	2	2	1	1	0
brie	HP	6	0.1818	37	33	21	12	4
brie	LP	15	0.4545	37	33	21	12	4
brie	HN-D	2	0.0606	37	33	21	12	4
brie	HN-S	1	0.0303	37	33	21	12	4
brie	LN	2	0.0606	37	33	21	12	4
brie	NB	7	0.2121	37	33	21	12	4
claude.ai	HP	10	0.303	34	33	15	18	1
claude.ai	LP	4	0.1212	34	33	15	18	1
claude.ai	HN-D	0	0.0	34	33	15	18	1
claude.ai	HN-S	6	0.1818	34	33	15	18	1
claude.ai	LN	8	0.2424	34	33	15	18	1
claude.ai	NB	5	0.1515	34	33	15	18	1
claudedriven	HP	6	0.375	17	16	14	2	1
claudedriven	LP	3	0.1875	17	16	14	2	1
claudedriven	HN-D	0	0.0	17	16	14	2	1
claudedriven	HN-S	0	0.0	17	16	14	2	1
claudedriven	LN	1	0.0625	17	16	14	2	1
claudedriven	NB	6	0.375	17	16	14	2	1
data	HP	9	0.3214	28	28	26	2	0
data	LP	0	0.0	28	28	26	2	0
data	HN-D	0	0.0	28	28	26	2	0
data	HN-S	2	0.0714	28	28	26	2	0
data	LN	0	0.0	28	28	26	2	0
data	NB	17	0.6071	28	28	26	2	0
faithful	HP	13	0.3333	39	39	23	16	0
faithful	LP	9	0.2308	39	39	23	16	0
faithful	HN-D	1	0.0256	39	39	23	16	0
faithful	HN-S	7	0.1795	39	39	23	16	0
faithful	LN	2	0.0513	39	39	23	16	0
faithful	NB	7	0.1795	39	39	23	16	0
geon	HP	2	0.1429	15	14	10	4	1
geon	LP	1	0.0714	15	14	10	4	1
geon	HN-D	0	0.0	15	14	10	4	1
geon	HN-S	3	0.2143	15	14	10	4	1
geon	LN	1	0.0714	15	14	10	4	1
geon	NB	7	0.5	15	14	10	4	1
hylic	HP	5	0.1724	30	29	17	12	1
hylic	LP	7	0.2414	30	29	17	12	1
hylic	HN-D	0	0.0	30	29	17	12	1
hylic	HN-S	2	0.069	30	29	17	12	1
hylic	LN	4	0.1379	30	29	17	12	1
hylic	NB	11	0.3793	30	29	17	12	1
introspection-via-kaomoji	HP	1	0.5	2	2	2	0	0
introspection-via-kaomoji	LP	0	0.0	2	2	2	0	0
introspection-via-kaomoji	HN-D	0	0.0	2	2	2	0	0
introspection-via-kaomoji	HN-S	1	0.5	2	2	2	0	0
introspection-via-kaomoji	LN	0	0.0	2	2	2	0	0
introspection-via-kaomoji	NB	0	0.0	2	2	2	0	0
kenoma	HP	6	0.1111	54	54	29	25	0
kenoma	LP	9	0.1667	54	54	29	25	0
kenoma	HN-D	4	0.0741	54	54	29	25	0
kenoma	HN-S	5	0.0926	54	54	29	25	0
kenoma	LN	8	0.1481	54	54	29	25	0
kenoma	NB	22	0.4074	54	54	29	25	0
llmoji	HP	98	0.2344	420	418	281	137	2
llmoji	LP	85	0.2033	420	418	281	137	2
llmoji	HN-D	5	0.012	420	418	281	137	2
llmoji	HN-S	59	0.1411	420	418	281	137	2
llmoji	LN	46	0.11	420	418	281	137	2
llmoji	NB	125	0.299	420	418	281	137	2
llmoji-study	HP	504	0.35	1504	1440	1108	332	64
llmoji-study	LP	248	0.1722	1504	1440	1108	332	64
llmoji-study	HN-D	16	0.0111	1504	1440	1108	332	64
llmoji-study	HN-S	201	0.1396	1504	1440	1108	332	64
llmoji-study	LN	86	0.0597	1504	1440	1108	332	64
llmoji-study	NB	385	0.2674	1504	1440	1108	332	64
mirrors	HP	0	0.0	2	2	1	1	0
mirrors	LP	0	0.0	2	2	1	1	0
mirrors	HN-D	1	0.5	2	2	1	1	0
mirrors	HN-S	1	0.5	2	2	1	1	0
mirrors	LN	0	0.0	2	2	1	1	0
mirrors	NB	0	0.0	2	2	1	1	0
rlaif	HP	18	0.1154	160	156	92	64	4
rlaif	LP	33	0.2115	160	156	92	64	4
rlaif	HN-D	10	0.0641	160	156	92	64	4
rlaif	HN-S	25	0.1603	160	156	92	64	4
rlaif	LN	20	0.1282	160	156	92	64	4
rlaif	NB	50	0.3205	160	156	92	64	4
saklas	HP	59	0.1681	357	351	178	173	6
saklas	LP	45	0.1282	357	351	178	173	6
saklas	HN-D	23	0.0655	357	351	178	173	6
saklas	HN-S	62	0.1766	357	351	178	173	6
saklas	LN	26	0.0741	357	351	178	173	6
saklas	NB	136	0.3875	357	351	178	173	6
shoals	HP	7	0.28	28	25	15	10	3
shoals	LP	7	0.28	28	25	15	10	3
shoals	HN-D	0	0.0	28	25	15	10	3
shoals	HN-S	6	0.24	28	25	15	10	3
shoals	LN	1	0.04	28	25	15	10	3
shoals	NB	4	0.16	28	25	15	10	3
talkie-interface	HP	4	0.5	10	8	7	1	2
talkie-interface	LP	3	0.375	10	8	7	1	2
talkie-interface	HN-D	0	0.0	10	8	7	1	2
talkie-interface	HN-S	0	0.0	10	8	7	1	2
talkie-interface	LN	0	0.0	10	8	7	1	2
talkie-interface	NB	1	0.125	10	8	7	1	2
tasty-bot	HP	3	0.0625	56	48	26	22	8
tasty-bot	LP	13	0.2708	56	48	26	22	8
tasty-bot	HN-D	7	0.1458	56	48	26	22	8
tasty-bot	HN-S	10	0.2083	56	48	26	22	8
tasty-bot	LN	6	0.125	56	48	26	22	8
tasty-bot	NB	9	0.1875	56	48	26	22	8
tasty-mcp	HP	30	0.8333	36	36	30	6	0
tasty-mcp	LP	0	0.0	36	36	30	6	0
tasty-mcp	HN-D	0	0.0	36	36	30	6	0
tasty-mcp	HN-S	6	0.1667	36	36	30	6	0
tasty-mcp	LN	0	0.0	36	36	30	6	0
tasty-mcp	NB	0	0.0	36	36	30	6	0
v3	HP	2	0.3333	7	6	4	2	1
v3	LP	0	0.0	7	6	4	2	1
v3	HN-D	1	0.1667	7	6	4	2	1
v3	HN-S	1	0.1667	7	6	4	2	1
v3	LN	0	0.0	7	6	4	2	1
v3	NB	2	0.3333	7	6	4	2	1
verify	HP	0	0.0	7	7	6	1	0
verify	LP	1	0.1429	7	7	6	1	0
verify	HN-D	1	0.1429	7	7	6	1	0
verify	HN-S	0	0.0	7	7	6	1	0
verify	LN	3	0.4286	7	7	6	1	0
verify	NB	2	0.2857	7	7	6	1	0
webui	HP	0	0.0	7	7	7	0	0
webui	LP	3	0.4286	7	7	7	0	0
webui	HN-D	1	0.1429	7	7	7	0	0
webui	HN-S	0	0.0	7	7	7	0	0
webui	LN	1	0.1429	7	7	7	0	0
webui	NB	2	0.2857	7	7	7	0	0
yap	HP	1	0.0909	11	11	11	0	0
yap	LP	3	0.2727	11	11	11	0	0
yap	HN-D	1	0.0909	11	11	11	0	0
yap	HN-S	0	0.0	11	11	11	0	0
yap	LN	0	0.0	11	11	11	0	0
yap	NB	6	0.5455	11	11	11	0	0
